nom;y_lat;type_public;Timestamp;RowKey;x_long;num_quartier;PartitionKey;type_acces;payant;cle;operateur;situation;entityid;cp;geometrie;formation;geo_point_2d
Mairie Annexe Bastide;44.8415587925069;Tous;2015-05-06T11:12:22.522855Z;46a038e2-4367-44db-bb93-3c9b6566df40;-0.552857185264412;7;7204989b-279d-4ab1-87dc-c9607cae90c1;Poste libre service;NON;284;Ville;Interne;7204989b-279d-4ab1-87dc-c9607cae90c1;33000;"{""type"": ""Point"", ""coordinates"": [-0.552857185264412, 44.8415587925069]}";non;44.8415587925,-0.552857185264
MEC Ponton Honneur;44.8392105406195;Tous;2015-05-06T11:12:25.2322342Z;94d84d62-ff5b-4a57-9797-da212f8b5497;-0.566992522704808;3;76c8f06f-ab11-4d96-87ec-492ce0ce42a3;Wifi;NON;300;Ville;Externe;76c8f06f-ab11-4d96-87ec-492ce0ce42a3;33000;"{""type"": ""Point"", ""coordinates"": [-0.566992522704808, 44.8392105406195]}";non;44.8392105406,-0.566992522705
Pey Berland Forges;44.8379430250813;Tous;2015-05-06T11:12:27.1819208Z;9df7d197-7b12-4819-9c95-90cddb72699c;-0.57614629380538;3;78380471-db80-4724-9817-8c511a518d3f;Wifi;NON;318;Ville;Externe;78380471-db80-4724-9817-8c511a518d3f;33000;"{""type"": ""Point"", ""coordinates"": [-0.57614629380538, 44.8379430250813]}";non;44.8379430251,-0.576146293805
Mairie annexe Grand Parc;44.8589432763187;Tous;2015-05-06T11:12:21.7291475Z;a831a316-6803-4a84-8eeb-221228f11114;-0.581533439273732;2;79b5a6a3-fd63-4ccb-939a-c954aff89c6a;Poste libre service;NON;249;Ville;Interne;79b5a6a3-fd63-4ccb-939a-c954aff89c6a;33000;"{""type"": ""Point"", ""coordinates"": [-0.581533439273732, 44.8589432763187]}";non;44.8589432763,-0.581533439274
Bibliothèque Jardin Public;44.8480260833129;Tous;2015-05-06T11:12:23.1895398Z;f73c7e62-0ac4-4815-a12f-aa658786f589;-0.58012286108146;2;86e9bc37-4cd6-4463-ad16-52004c10abee;Poste libre service;NON;287;Ville;Interne;86e9bc37-4cd6-4463-ad16-52004c10abee;33000;"{""type"": ""Point"", ""coordinates"": [-0.58012286108146, 44.8480260833129]}";non;44.8480260833,-0.580122861081
Atelier du Pole Giono;44.8454998643989;Seniors;2015-05-06T11:12:22.2984292Z;558ac9d9-bad8-4a05-9948-645b040affc8;-0.562944756478272;7;95f8b0ce-3f24-4c12-9dc7-d4f8625cc8b9;Poste libre service;NON;286;Ville;Interne;95f8b0ce-3f24-4c12-9dc7-d4f8625cc8b9;33000;"{""type"": ""Point"", ""coordinates"": [-0.562944756478272, 44.8454998643989]}";;44.8454998644,-0.562944756478
Bibliothèque St Augustin;44.8317669819592;Tous;2015-05-06T11:12:27.9770344Z;1c386483-5fb1-43a0-97a6-5990aa97eed1;-0.610846175573378;4;9a6c78ec-690b-4883-a481-b874c19e0949;Poste libre service;NON;335;Ville;Interne;9a6c78ec-690b-4883-a481-b874c19e0949;33000;"{""type"": ""Point"", ""coordinates"": [-0.610846175573378, 44.8317669819592]}";non;44.831766982,-0.610846175573
Bibliothèque Son Tay;44.8247464424864;Tous;2015-05-06T11:12:24.9702952Z;347b5e7f-e385-4d9d-ad85-b5da5156a8fe;-0.551660145769663;6;9b9eb3ce-81f7-4836-9670-5d9f665228cf;Poste libre service;NON;289;Ville;Interne;9b9eb3ce-81f7-4836-9670-5d9f665228cf;33000;"{""type"": ""Point"", ""coordinates"": [-0.551660145769663, 44.8247464424864]}";non;44.8247464425,-0.55166014577
Grand Parc Centre Commercial;44.8599395812081;Tous;2015-05-06T11:12:27.6026319Z;38d7bc3b-5efc-4f64-996e-0c2c7656d197;-0.582288048099357;2;a4dda340-4c58-41c3-b340-7cf3f506d60d;Wifi;NON;964;Ville;Externe;a4dda340-4c58-41c3-b340-7cf3f506d60d;33000;"{""type"": ""Point"", ""coordinates"": [-0.582288048099357, 44.8599395812081]}";;44.8599395812,-0.582288048099
Hangar G2;44.8631813311128;Tous;2015-05-06T11:12:19.7146299Z;ccb697b8-59dc-46f9-9246-114a6a10eb99;-0.555275779834489;1;b6e6ee0d-024e-4388-82f0-fb2e7d0e0fc0;Wifi;NON;1009;Ville;Externe;b6e6ee0d-024e-4388-82f0-fb2e7d0e0fc0;;"{""type"": ""Point"", ""coordinates"": [-0.555275779834489, 44.8631813311128]}";;44.8631813311,-0.555275779834
